"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Moosa\Desktop\FYP\back-end\services\attendanceService.js", "JavaScript", 0, 272, 7, 50, 329
"c:\Users\Moosa\Desktop\FYP\back-end\services\authService.js", "JavaScript", 0, 197, 23, 52, 272
"c:\Users\Moosa\Desktop\FYP\back-end\services\channelService.js", "JavaScript", 0, 464, 100, 112, 676
"c:\Users\Moosa\Desktop\FYP\back-end\services\classService.js", "JavaScript", 0, 407, 12, 60, 479
"c:\Users\Moosa\Desktop\FYP\back-end\services\courseService.js", "JavaScript", 0, 104, 2, 17, 123
"c:\Users\Moosa\Desktop\FYP\back-end\services\generalService.js", "JavaScript", 0, 61, 1, 11, 73
"c:\Users\Moosa\Desktop\FYP\back-end\services\notificationService.js", "JavaScript", 0, 110, 0, 21, 131
"c:\Users\Moosa\Desktop\FYP\back-end\services\programService.js", "JavaScript", 0, 59, 0, 15, 74
"c:\Users\Moosa\Desktop\FYP\back-end\services\questionService.js", "JavaScript", 0, 25, 1, 8, 34
"c:\Users\Moosa\Desktop\FYP\back-end\services\quizService.js", "JavaScript", 0, 62, 5, 18, 85
"c:\Users\Moosa\Desktop\FYP\back-end\services\resourceService.js", "JavaScript", 0, 117, 0, 23, 140
"c:\Users\Moosa\Desktop\FYP\back-end\services\semesterService.js", "JavaScript", 0, 59, 0, 9, 68
"c:\Users\Moosa\Desktop\FYP\back-end\services\submissionService.js", "JavaScript", 0, 76, 12, 16, 104
"c:\Users\Moosa\Desktop\FYP\back-end\test-websocket.js", "JavaScript", 0, 18, 0, 5, 23
"c:\Users\Moosa\Desktop\FYP\back-end\vercel.json", "JSON", 15, 0, 0, 1, 16
"c:\Users\Moosa\Desktop\FYP\back-end\websocket-client.js", "JavaScript", 0, 14, 0, 5, 19
"c:\Users\Moosa\Desktop\FYP\back-end\websocket\websocketServer.js", "JavaScript", 0, 62, 3, 9, 74
"Total", "-", 3549, 5172, 375, 884, 9980
